ranker,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches,Player_URL,Image_URL,Photo_Local
526,Rayan Souici,fr FRA,MF,Saint-Étienne,22,1998,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/e3ad3368/Rayan-Souici,https://fbref.com/req/202302030/images/headshots/e3ad3368_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Rayan_Souici.jpg
527,Adama Soumaoro,fr FRA,DF,Lille,28,1992,3,1,145,1.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/7b075c75/Adama-Soumaoro,https://fbref.com/req/202302030/images/headshots/7b075c75_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Adama_Soumaoro.jpg
528,Boubakary Soumaré,fr FRA,MF,Lille,21,1999,32,21,"1,919",21.3,0,1,1,0,0,0,3,0,0.0,0.05,0.05,0.0,0.05,Matches,https://fbref.com/en/players/ae59b359/Boubakary-Soumare,https://fbref.com/req/202302030/images/headshots/ae59b359_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Boubakary_Soumaré.jpg
529,Yaya Soumaré,fr FRA,FW,Lyon,20,2000,3,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/d87e6889/Yaya-Soumare,https://fbref.com/req/202302030/images/headshots/d87e6889_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Yaya_Soumaré.jpg
530,Arnaud Souquet,fr FRA,"MF,DF",Montpellier,28,1992,23,14,"1,224",13.6,1,1,2,1,0,0,5,0,0.07,0.07,0.15,0.07,0.15,Matches,https://fbref.com/en/players/4e0afc5d/Arnaud-Souquet,https://fbref.com/req/202302030/images/headshots/4e0afc5d_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Arnaud_Souquet.jpg
531,Ansou Sow,sn SEN,FW,Lens,20,2000,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/754d5c33/Ansou-Sow,,
532,Saidou Sow,gn GUI,DF,Saint-Étienne,18,2002,15,10,"1,000",11.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/f6b94e8d/Saidou-Sow,https://fbref.com/req/202302030/images/headshots/f6b94e8d_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Saidou_Sow.jpg
533,Kevin Strootman,nl NED,MF,Marseille,30,1990,11,1,233,2.6,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/ef2e5e1a/Kevin-Strootman,https://fbref.com/req/202302030/images/headshots/ef2e5e1a_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Kevin_Strootman.jpg
534,Abdoulaye Sylla,gn GUI,DF,Nantes,20,2000,2,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/2aeb43f1/Abdoulaye-Sylla,https://fbref.com/req/202302030/images/headshots/2aeb43f1_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Abdoulaye_Sylla.jpg
535,Issiaga Sylla,gn GUI,MF,Lens,26,1994,20,13,"1,116",12.4,1,0,1,1,0,0,0,1,0.08,0.0,0.08,0.08,0.08,Matches,https://fbref.com/en/players/b99bec05/Issiaga-Sylla,https://fbref.com/req/202302030/images/headshots/b99bec05_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Issiaga_Sylla.jpg
536,Eddy Sylvestre,fr FRA,FW,Nice,20,1999,4,1,97,1.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/ff3a6a60/Eddy-Sylvestre,https://fbref.com/req/202302030/images/headshots/ff3a6a60_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Eddy_Sylvestre.jpg
537,Waniss Taibi,fr FRA,MF,Angers,18,2002,2,0,38,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/95192fe4/Waniss-Taibi,https://fbref.com/req/202302030/images/headshots/95192fe4_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Waniss_Taibi.jpg
538,Flavien Tait,fr FRA,MF,Rennes,27,1993,23,16,"1,368",15.2,1,3,4,1,0,0,6,0,0.07,0.2,0.26,0.07,0.26,Matches,https://fbref.com/en/players/a0f9b535/Flavien-Tait,https://fbref.com/req/202302030/images/headshots/a0f9b535_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Flavien_Tait.jpg
539,Heriberto Tavares,cv CPV,"FW,MF",Brest,23,1997,4,0,43,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/2d9f280e/Heriberto-Tavares,https://fbref.com/req/202302030/images/headshots/2d9f280e_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Heriberto_Tavares.jpg
540,Warren Tchimbembé,cg CGO,MF,Metz,22,1998,15,4,495,5.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/93b8f9f4/Warren-Tchimbembe,https://fbref.com/req/202302030/images/headshots/93b8f9f4_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Warren_Tchimbembé.jpg
541,Aurélien Tchouaméni,fr FRA,MF,Monaco,20,2000,36,36,"3,063",34.0,2,4,6,2,0,0,9,1,0.06,0.12,0.18,0.06,0.18,Matches,https://fbref.com/en/players/4f255115/Aurelien-Tchouameni,https://fbref.com/req/202302030/images/headshots/4f255115_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Aurélien_Tchouaméni.jpg
542,Martin Terrier,fr FRA,"FW,MF",Rennes,23,1997,34,30,"2,436",27.1,9,7,16,8,1,1,2,1,0.33,0.26,0.59,0.3,0.55,Matches,https://fbref.com/en/players/5148dcc5/Martin-Terrier,https://fbref.com/req/202302030/images/headshots/5148dcc5_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Martin_Terrier.jpg
543,Kenny Tete,nl NED,DF,Lyon,24,1995,1,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/77d7c96f/Kenny-Tete,https://fbref.com/req/202302030/images/headshots/77d7c96f_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Kenny_Tete.jpg
544,Florian Thauvin,fr FRA,"MF,FW",Marseille,27,1993,36,33,"2,732",30.4,8,8,16,8,0,2,5,0,0.26,0.26,0.53,0.26,0.53,Matches,https://fbref.com/en/players/2b9fdeea/Florian-Thauvin,https://fbref.com/req/202302030/images/headshots/2b9fdeea_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Florian_Thauvin.jpg
545,Sada Thioub,sn SEN,"MF,FW",Angers,25,1995,27,12,"1,256",14.0,1,1,2,1,0,0,0,0,0.07,0.07,0.14,0.07,0.14,Matches,https://fbref.com/en/players/f4bc42b1/Sada-Thioub,https://fbref.com/req/202302030/images/headshots/f4bc42b1_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Sada_Thioub.jpg
546,Romain Thomas,fr FRA,DF,Angers,32,1988,34,34,"3,024",33.6,4,0,4,4,0,0,5,1,0.12,0.0,0.12,0.12,0.12,Matches,https://fbref.com/en/players/275e2c51/Romain-Thomas,https://fbref.com/req/202302030/images/headshots/275e2c51_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Romain_Thomas.jpg
547,Adrien Thomasson,fr FRA,"MF,FW",Strasbourg,26,1993,37,31,"2,624",29.2,5,1,6,5,0,0,8,1,0.17,0.03,0.21,0.17,0.21,Matches,https://fbref.com/en/players/c76b7567/Adrien-Thomasson,https://fbref.com/req/202302030/images/headshots/c76b7567_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Adrien_Thomasson.jpg
548,Khéphren Thuram,fr FRA,MF,Nice,19,2001,29,17,"1,494",16.6,2,0,2,2,0,0,3,0,0.12,0.0,0.12,0.12,0.12,Matches,https://fbref.com/en/players/7d9397f8/Khephren-Thuram,https://fbref.com/req/202302030/images/headshots/7d9397f8_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Khéphren_Thuram.jpg
549,Cheikh Tidiane Sabaly,sn SEN,"FW,MF",Metz,21,1999,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/9ddf7fae/Cheikh-Tidiane-Sabaly,https://fbref.com/req/202302030/images/headshots/9ddf7fae_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Cheikh_Tidiane_Sabaly.jpg
550,Jean-Clair Todibo,fr FRA,DF,Nice,20,1999,15,15,"1,330",14.8,1,0,1,1,0,0,5,0,0.07,0.0,0.07,0.07,0.07,Matches,https://fbref.com/en/players/88f130ed/Jean-Clair-Todibo,https://fbref.com/req/202302030/images/headshots/88f130ed_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Jean-Clair_Todibo.jpg
551,Karl Toko Ekambi,cm CMR,"FW,MF",Lyon,27,1992,35,34,"2,811",31.2,14,6,20,14,0,0,3,0,0.45,0.19,0.64,0.45,0.64,Matches,https://fbref.com/en/players/5ceba7fc/Karl-Toko-Ekambi,https://fbref.com/req/202302030/images/headshots/5ceba7fc_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Karl_Toko_Ekambi.jpg
552,Tyron Tormin,fr FRA,FW,Saint-Étienne,19,2001,3,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/0d99c6e1/Tyron-Tormin,https://fbref.com/req/202302030/images/headshots/0d99c6e1_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Tyron_Tormin.jpg
553,Abdoulaye Touré,gn GUI,MF,Nantes,26,1994,29,20,"1,681",18.7,2,2,4,1,1,1,2,0,0.11,0.11,0.21,0.05,0.16,Matches,https://fbref.com/en/players/ef7cd87a/Abdoulaye-Toure,https://fbref.com/req/202302030/images/headshots/ef7cd87a_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Abdoulaye_Touré.jpg
554,Amadou Traore,fr FRA,FW,Bordeaux,18,2002,19,0,304,3.4,0,1,1,0,0,0,0,0,0.0,0.3,0.3,0.0,0.3,Matches,https://fbref.com/en/players/4eb0686f/Amadou-Traore,https://fbref.com/req/202302030/images/headshots/4eb0686f_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Amadou_Traore.jpg
555,Boubacar Traoré,ml MLI,MF,Metz,18,2001,2,0,54,0.6,1,0,1,1,0,0,0,0,1.67,0.0,1.67,1.67,1.67,Matches,https://fbref.com/en/players/999ceb5f/Boubacar-Traore,https://fbref.com/req/202302030/images/headshots/999ceb5f_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Boubacar_Traoré.jpg
556,Charles Traore,ml MLI,DF,Nantes,28,1992,22,19,"1,700",18.9,1,0,1,1,0,0,6,0,0.05,0.0,0.05,0.05,0.05,Matches,https://fbref.com/en/players/de488e56/Charles-Traore,https://fbref.com/req/202302030/images/headshots/de488e56_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Charles_Traore.jpg
557,Cheick Traoré,ml MLI,"DF,MF",Lens,25,1995,2,0,39,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/bfcef334/Cheick-Traore,https://fbref.com/req/202302030/images/headshots/bfcef334_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Cheick_Traoré.jpg
558,Hamari Traoré,ml MLI,DF,Rennes,28,1992,35,34,"3,000",33.3,1,1,2,1,0,0,4,0,0.03,0.03,0.06,0.03,0.06,Matches,https://fbref.com/en/players/a4b1028a/Hamari-Traore,https://fbref.com/req/202302030/images/headshots/a4b1028a_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Hamari_Traoré.jpg
559,Ismaël Traoré,ci CIV,DF,Angers,33,1986,34,34,"2,993",33.3,3,3,6,3,0,0,3,0,0.09,0.09,0.18,0.09,0.18,Matches,https://fbref.com/en/players/b666421b/Ismael-Traore,https://fbref.com/req/202302030/images/headshots/b666421b_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Ismaël_Traoré.jpg
560,Miguel Trauco,pe PER,DF,Saint-Étienne,27,1992,26,22,"2,035",22.6,0,2,2,0,0,0,1,0,0.0,0.09,0.09,0.0,0.09,Matches,https://fbref.com/en/players/e4b72e34/Miguel-Trauco,https://fbref.com/req/202302030/images/headshots/e4b72e34_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Miguel_Trauco.jpg
561,Alexis Trouillet,fr FRA,MF,Nice,19,2000,5,1,109,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/0a8d6b91/Alexis-Trouillet,https://fbref.com/req/202302030/images/headshots/0a8d6b91_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Alexis_Trouillet.jpg
562,Adrien Truffert,fr FRA,"DF,MF",Rennes,18,2001,29,23,"1,951",21.7,1,3,4,1,0,0,3,0,0.05,0.14,0.18,0.05,0.18,Matches,https://fbref.com/en/players/5d0e0a1f/Adrien-Truffert,https://fbref.com/req/202302030/images/headshots/5d0e0a1f_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Adrien_Truffert.jpg
563,Marvin Tshibuabua,fr FRA,DF,Saint-Étienne,18,2002,1,0,43,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/7a0b1e96/Marvin-Tshibuabua,https://fbref.com/req/202302030/images/headshots/7a0b1e96_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Marvin_Tshibuabua.jpg
564,Matthieu Udol,fr FRA,"DF,MF",Metz,24,1996,25,19,"1,724",19.2,0,3,3,0,0,0,1,1,0.0,0.16,0.16,0.0,0.16,Matches,https://fbref.com/en/players/cc41f558/Matthieu-Udol,https://fbref.com/req/202302030/images/headshots/cc41f558_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Matthieu_Udol.jpg
565,Naomichi Ueda,jp JPN,DF,Nîmes,25,1994,9,8,711,7.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/539b4f25/Naomichi-Ueda,https://fbref.com/req/202302030/images/headshots/539b4f25_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Naomichi_Ueda.jpg
566,Lesley Ugochukwu,fr FRA,MF,Rennes,16,2004,3,1,65,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/1df4a109/Lesley-Ugochukwu,https://fbref.com/req/202302030/images/headshots/1df4a109_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Lesley_Ugochukwu.jpg
567,Hwang Ui-jo,kr KOR,"FW,MF",Bordeaux,27,1992,36,32,"2,503",27.8,12,3,15,9,3,3,1,0,0.43,0.11,0.54,0.32,0.43,Matches,https://fbref.com/en/players/a2d873dd/Hwang-Ui-jo,https://fbref.com/req/202302030/images/headshots/a2d873dd_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Hwang_Ui-jo.jpg
568,Antoine Valerio,fr FRA,MF,Nîmes,20,1999,1,1,70,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/95981861/Antoine-Valerio,https://fbref.com/req/202302030/images/headshots/95981861_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Antoine_Valerio.jpg
569,Marco Verratti,it ITA,MF,Paris Saint-Germain,27,1992,21,16,"1,492",16.6,0,2,2,0,0,0,7,0,0.0,0.12,0.12,0.0,0.12,Matches,https://fbref.com/en/players/1467af0d/Marco-Verratti,https://fbref.com/req/202302030/images/headshots/1467af0d_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Marco_Verratti.jpg
570,Clément Vidal,fr FRA,DF,Montpellier,20,2000,2,1,86,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/b2791a55/Clement-Vidal,https://fbref.com/req/202302030/images/headshots/b2791a55_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Clément_Vidal.jpg
571,Kevin Volland,de GER,"FW,MF",Monaco,28,1992,35,34,"2,769",30.8,16,7,23,16,0,0,4,0,0.52,0.23,0.75,0.52,0.75,Matches,https://fbref.com/en/players/64f69877/Kevin-Volland,https://fbref.com/req/202302030/images/headshots/64f69877_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Kevin_Volland.jpg
572,Franklin Wadja,cm CMR,MF,Lorient,25,1995,4,0,33,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/7cbf91b2/Franklin-Wadja,https://fbref.com/req/202302030/images/headshots/7cbf91b2_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Franklin_Wadja.jpg
573,Elye Wahi,ci CIV,"FW,MF",Montpellier,17,2003,18,3,555,6.2,3,1,4,3,0,0,1,0,0.49,0.16,0.65,0.49,0.65,Matches,https://fbref.com/en/players/0d7b6576/Elye-Wahi,https://fbref.com/req/202302030/images/headshots/0d7b6576_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Elye_Wahi.jpg
574,Timothy Weah,us USA,"MF,FW",Lille,20,2000,28,7,878,9.8,3,0,3,3,0,0,1,0,0.31,0.0,0.31,0.31,0.31,Matches,https://fbref.com/en/players/8eec784d/Timothy-Weah,https://fbref.com/req/202302030/images/headshots/8eec784d_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Timothy_Weah.jpg
575,Yoane Wissa,cd COD,"MF,FW",Lorient,23,1996,38,30,"2,674",29.7,10,4,14,6,4,5,2,0,0.34,0.13,0.47,0.2,0.34,Matches,https://fbref.com/en/players/2500cef9/Yoane-Wissa,https://fbref.com/req/202302030/images/headshots/2500cef9_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Yoane_Wissa.jpg
576,Xeka,pt POR,MF,Lille,25,1994,33,11,"1,200",13.3,1,2,3,1,0,0,6,0,0.07,0.15,0.23,0.07,0.23,Matches,https://fbref.com/en/players/f3600c02/Xeka,https://fbref.com/req/202302030/images/headshots/f3600c02_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Xeka.jpg
577,Yusuf Yazıcı,tr TUR,"FW,MF",Lille,23,1997,32,10,"1,086",12.1,7,4,11,7,0,0,1,0,0.58,0.33,0.91,0.58,0.91,Matches,https://fbref.com/en/players/f5c8b425/Yusuf-Yazici,https://fbref.com/req/202302030/images/headshots/f5c8b425_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Yusuf_Yazıcı.jpg
578,Burak Yılmaz,tr TUR,FW,Lille,35,1985,28,23,"2,051",22.8,16,5,21,12,4,4,6,0,0.7,0.22,0.92,0.53,0.75,Matches,https://fbref.com/en/players/165a2e40/Burak-Yilmaz,https://fbref.com/req/202302030/images/headshots/165a2e40_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Burak_Yılmaz.jpg
579,Wilitty Younoussa,cm CMR,MF,Dijon,18,2001,3,1,77,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/2736b85e/Wilitty-Younoussa,https://fbref.com/req/202302030/images/headshots/2736b85e_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Wilitty_Younoussa.jpg
580,Zaydou Youssouf,km COM,MF,Saint-Étienne,21,1999,29,14,"1,229",13.7,1,1,2,1,0,0,2,0,0.07,0.07,0.15,0.07,0.15,Matches,https://fbref.com/en/players/e2f9bb5f/Zaydou-Youssouf,https://fbref.com/req/202302030/images/headshots/e2f9bb5f_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Zaydou_Youssouf.jpg
581,Arthur Zagre,fr FRA,DF,Dijon,18,2001,3,1,122,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/3225654e/Arthur-Zagre,https://fbref.com/req/202302030/images/headshots/3225654e_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Arthur_Zagre.jpg
582,Arber Zeneli,xk KVX,MF,Reims,25,1995,28,14,"1,289",14.3,3,3,6,3,0,0,1,0,0.21,0.21,0.42,0.21,0.42,Matches,https://fbref.com/en/players/095e4199/Arber-Zeneli,https://fbref.com/req/202302030/images/headshots/095e4199_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Arber_Zeneli.jpg
583,Mehdi Zerkane,dz ALG,"MF,FW",Bordeaux,21,1999,27,15,"1,187",13.2,1,1,2,1,0,0,3,1,0.08,0.08,0.15,0.08,0.15,Matches,https://fbref.com/en/players/53f6306f/Mehdi-Zerkane,https://fbref.com/req/202302030/images/headshots/53f6306f_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Mehdi_Zerkane.jpg
584,Kévin Zohi,ml MLI,MF,Strasbourg,23,1996,23,2,436,4.8,2,0,2,2,0,0,0,0,0.41,0.0,0.41,0.41,0.41,Matches,https://fbref.com/en/players/775185ae/Kevin-Zohi,https://fbref.com/req/202302030/images/headshots/775185ae_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Kévin_Zohi.jpg
