ranker,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches,Player_URL,Image_URL,Photo_Local
358,Sekou Mara,fr FRA,FW,Bordeaux,18,2002,8,2,229,2.5,1,2,3,1,0,0,0,0,0.39,0.79,1.18,0.39,1.18,Matches,https://fbref.com/en/players/3544641e/Sekou-Mara,https://fbref.com/req/202302030/images/headshots/3544641e_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Sekou_Mara.jpg
359,Fernando Marçal,br BRA,DF,Lyon,31,1989,1,1,78,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/9ae9eaea/Fernando-Marcal,https://fbref.com/req/202302030/images/headshots/9ae9eaea_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Fernando_Marçal.jpg
360,Marcelo,br BRA,DF,Lyon,33,1987,34,34,"2,907",32.3,3,0,3,3,0,0,7,2,0.09,0.0,0.09,0.09,0.09,Matches,https://fbref.com/en/players/e3d0b0c4/Marcelo,https://fbref.com/req/202302030/images/headshots/e3d0b0c4_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Marcelo.jpg
361,Dario Maresic,at AUT,DF,Reims,20,1999,8,5,514,5.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/5d93ccee/Dario-Maresic,https://fbref.com/req/202302030/images/headshots/5d93ccee_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Dario_Maresic.jpg
362,Jordan Marié,fr FRA,MF,Dijon,28,1991,24,16,"1,432",15.9,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/0d2158d5/Jordan-Marie,https://fbref.com/req/202302030/images/headshots/0d2158d5_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Jordan_Marié.jpg
363,Guillermo Maripán,cl CHI,DF,Monaco,26,1994,28,22,"2,089",23.2,5,1,6,5,0,0,7,0,0.22,0.04,0.26,0.22,0.26,Matches,https://fbref.com/en/players/d9764034/Guillermo-Maripan,https://fbref.com/req/202302030/images/headshots/d9764034_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Guillermo_Maripán.jpg
364,Marquinhos,br BRA,DF,Paris Saint-Germain,26,1994,25,24,"2,128",23.6,3,1,4,3,0,0,2,0,0.13,0.04,0.17,0.13,0.17,Matches,https://fbref.com/en/players/d5f2f82b/Marquinhos,https://fbref.com/req/202302030/images/headshots/d5f2f82b_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Marquinhos.jpg
365,Jonas Martin,fr FRA,MF,Rennes,30,1990,12,6,482,5.4,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/468fdbad/Jonas-Martin,https://fbref.com/req/202302030/images/headshots/468fdbad_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Jonas_Martin.jpg
366,Pablo Martinez,fr FRA,DF,Nîmes,31,1989,7,6,540,6.0,0,1,1,0,0,0,1,0,0.0,0.17,0.17,0.0,0.17,Matches,https://fbref.com/en/players/1ad8cb67/Pablo-Martinez,https://fbref.com/req/202302030/images/headshots/1ad8cb67_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Pablo_Martinez.jpg
367,Gelson Martins,pt POR,"MF,FW",Monaco,25,1995,23,20,"1,551",17.2,3,2,5,3,0,0,3,0,0.17,0.12,0.29,0.17,0.29,Matches,https://fbref.com/en/players/3ef0fa48/Gelson-Martins,https://fbref.com/req/202302030/images/headshots/3ef0fa48_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Gelson_Martins.jpg
